,id,name,artists,acousticness,danceability,energy,loudness,key,instrumentalness,mode,speechiness,tempo,time_signature,valence
39,6OiRh4kttAs1YWglvTcYkB,Alrighty Aphrodite,Peach Pit,0.00605,0.534,0.724,-4.675,6,0.0929,0,0.0495,81.846,4,0.503
40,57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),"Wallows, Clairo",0.156,0.682,0.683,-6.444,8,2.32e-05,0,0.0287,120.023,4,0.64
41,5dd8bjfDdmFXhbKiGbE1bW,Weird Little Idea,Radiator Hospital,1.47e-05,0.549,0.563,-5.911,0,0.66,1,0.0289,123.96,4,0.616
42,55WsKmJ5C0r50dFYTWJ2CT,Ghost Story,Radiator Hospital,0.00321,0.0679,0.889,-3.629,7,0.911,0,0.0679,184.714,4,0.344
43,6St6kIw1vscBbLDl2K05xz,I Wanna Be Good,The Walters,0.833,0.322,0.354,-12.598,0,1.81e-05,1,0.0294,95.747,4,0.248
44,4m3uMuu1gYYjZPtZvTOe6t,Orgasm of Death,The Growlers,0.000303,0.415,0.728,-5.568,11,0.000106,0,0.0303,154.992,4,0.703
45,6RzMzTdBOH05fQN8DvY2iQ,Fill Me Up Anthem,Gus Dapperton,0.406,0.56,0.587,-2.998,8,0.0,1,0.0275,131.001,4,0.548
46,5LYJ631w9ps5h9tdvac7yP,Easy Lover,"Philip Bailey, Phil Collins",0.105,0.74,0.923,-5.082,1,0.000163,1,0.0369,128.871,4,0.93
47,0WQiDwKJclirSYG9v5tayI,There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,0.04,0.523,0.769,-5.855,4,0.0,1,0.0269,136.162,4,0.876
48,20j7l6tFtc5lynXpbOQg1O,Superstar Sh*t,Dominic Fike,0.945,0.756,0.394,-7.321,4,0.0371,0,0.0956,70.027,4,0.197
49,4j4pPKE3xAblPIbhxScC1j,Rawnald Gregory Erickson the Second,STRFKR,0.229,0.9,0.538,-7.879,7,0.843,1,0.0343,95.508,4,0.713
